file|string|en|es|zh|es_php|zh_php
tool_iomadpolicy|managepolicies|Manage policies|Gestionar políticas|管理政策|$string['managepolicies'] = 'Gestionar políticas';|$string['managepolicies'] = '管理政策';
tool_iomadpolicy|movedown|Move down|Baja|向下|$string['movedown'] = 'Baja';|$string['movedown'] = '向下';
tool_iomadpolicy|moveup|Move up|Subir|向上|$string['moveup'] = 'Subir';|$string['moveup'] = '向上';
tool_iomadpolicy|mustagreetocontinue|Before continuing you need to acknowledge all these policies.|Antes de continuar, debe aceptar todas estas políticas.|在继续操作之前，您需要了解并接受所有这些政策。|$string['mustagreetocontinue'] = 'Antes de continuar, debe aceptar todas estas políticas.';|$string['mustagreetocontinue'] = '在继续操作之前，您需要了解并接受所有这些政策。';
tool_iomadpolicy|newiomadpolicy|New policy|Nueva política|新政策|$string['newiomadpolicy'] = 'Nueva política';|$string['newiomadpolicy'] = '新政策';
tool_iomadpolicy|newversion|New version|Nueva versión|新版本|$string['newversion'] = 'Nueva versión';|$string['newversion'] = '新版本';
tool_iomadpolicy|noactivepolicies|There are no policies with an active version.|No existen políticas con una versión activa.|目前没有任何保单处于生效状态。|$string['noactivepolicies'] = 'No existen políticas con una versión activa.';|$string['noactivepolicies'] = '目前没有任何保单处于生效状态。';
tool_iomadpolicy|nofiltersapplied|No filters applied|No se aplicaron filtros.|未应用任何筛选条件|$string['nofiltersapplied'] = 'No se aplicaron filtros.';|$string['nofiltersapplied'] = '未应用任何筛选条件';
tool_iomadpolicy|nopermissiontoagreedocs|No permission to agree to the policies|No se requiere autorización para aceptar las políticas.|无权同意这些政策|$string['nopermissiontoagreedocs'] = 'No se requiere autorización para aceptar las políticas.';|$string['nopermissiontoagreedocs'] = '无权同意这些政策';
tool_iomadpolicy|nopermissiontoagreedocs_desc|Sorry, you do not have the required permissions to agree to the policies.<br />You will not be able to use this site until the following policies are agreed:|Lo sentimos, no tiene los permisos necesarios para aceptar las políticas.<br />No podrá usar este sitio hasta que acepte las siguientes políticas:|抱歉，您没有同意这些政策所需的权限。<br />您必须同意以下政策才能使用本网站：|$string['nopermissiontoagreedocs_desc'] = 'Lo sentimos, no tiene los permisos necesarios para aceptar las políticas.<br />No podrá usar este sitio hasta que acepte las siguientes políticas:';|$string['nopermissiontoagreedocs_desc'] = '抱歉，您没有同意这些政策所需的权限。<br />您必须同意以下政策才能使用本网站：';
tool_iomadpolicy|nopermissiontoagreedocsbehalf|No permission to agree to the policies on behalf of this user|No se tiene permiso para aceptar las políticas en nombre de este usuario.|无权代表该用户同意这些政策|$string['nopermissiontoagreedocsbehalf'] = 'No se tiene permiso para aceptar las políticas en nombre de este usuario.';|$string['nopermissiontoagreedocsbehalf'] = '无权代表该用户同意这些政策';
tool_iomadpolicy|nopermissiontoagreedocsbehalf_desc|Sorry, you do not have the required permission to agree to the following policies on behalf of {$a}:|Lo sentimos, no tiene el permiso necesario para aceptar las siguientes políticas en nombre de {$a}:|抱歉，您没有代表 {$a} 同意以下政策的必要权限：|$string['nopermissiontoagreedocsbehalf_desc'] = 'Lo sentimos, no tiene el permiso necesario para aceptar las siguientes políticas en nombre de {$a}:';|$string['nopermissiontoagreedocsbehalf_desc'] = '抱歉，您没有代表 {$a} 同意以下政策的必要权限：';
tool_iomadpolicy|nopermissiontoagreedocscontact|For further assistance, please contact|Para obtener más ayuda, póngase en contacto con nosotros.|如需进一步帮助，请联系|$string['nopermissiontoagreedocscontact'] = 'Para obtener más ayuda, póngase en contacto con nosotros.';|$string['nopermissiontoagreedocscontact'] = '如需进一步帮助，请联系';
tool_iomadpolicy|nopermissiontoviewiomadpolicyversion|You do not have permissions to view this policy version.|No tienes permisos para ver esta versión de la política.|您没有查看此策略版本的权限。|$string['nopermissiontoviewiomadpolicyversion'] = 'No tienes permisos para ver esta versión de la política.';|$string['nopermissiontoviewiomadpolicyversion'] = '您没有查看此策略版本的权限。';
tool_iomadpolicy|nopolicies|There are no policies for registered users with an active version.|No existen políticas para usuarios registrados con una versión activa.|对于已注册并拥有有效版本的用户，没有相关政策。|$string['nopolicies'] = 'No existen políticas para usuarios registrados con una versión activa.';|$string['nopolicies'] = '对于已注册并拥有有效版本的用户，没有相关政策。';
tool_iomadpolicy|selectiomadpolicyandversion|Use the filter above to select policy and/or version|Utilice el filtro de arriba para seleccionar la política y/o la versión.|使用上面的筛选器选择策略和/或版本|$string['selectiomadpolicyandversion'] = 'Utilice el filtro de arriba para seleccionar la política y/o la versión.';|$string['selectiomadpolicyandversion'] = '使用上面的筛选器选择策略和/或版本';
tool_iomadpolicy|steppolicies|Policy {$a->numiomadpolicy} out of {$a->totalpolicies}|Política {$a->numiomadpolicy} de {$a->totalpolicies}|策略 {$a->numiomadpolicy} 出自 {$a->totalpolicies}|$string['steppolicies'] = 'Política {$a->numiomadpolicy} de {$a->totalpolicies}';|$string['steppolicies'] = '策略 {$a->numiomadpolicy} 出自 {$a->totalpolicies}';
tool_iomadpolicy|pluginname|IOMAD Policies|Políticas de IOMAD|IOMAD政策|$string['pluginname'] = 'Políticas de IOMAD';|$string['pluginname'] = 'IOMAD政策';
tool_iomadpolicy|policiesagreements|Policies and agreements|Políticas y acuerdos|政策和协议|$string['policiesagreements'] = 'Políticas y acuerdos';|$string['policiesagreements'] = '政策和协议';
tool_iomadpolicy|importiomadpolicy|Import polices from tool_policy|Importar políticas desde tool_policy|从 tool_policy 导入策略|$string['importiomadpolicy'] = 'Importar políticas desde tool_policy';|$string['importiomadpolicy'] = '从 tool_policy 导入策略';
tool_iomadpolicy|iomadpolicy:accept|Agree to the policies|Aceptar las políticas|同意这些政策|$string['iomadpolicy:accept'] = 'Aceptar las políticas';|$string['iomadpolicy:accept'] = '同意这些政策';
tool_iomadpolicy|iomadpolicy:acceptbehalf|Give consent for policies on someone else's behalf|Dar consentimiento para políticas en nombre de otra persona|代表他人同意相关政策|$string['iomadpolicy:acceptbehalf'] = 'Dar consentimiento para políticas en nombre de otra persona';|$string['iomadpolicy:acceptbehalf'] = '代表他人同意相关政策';
tool_iomadpolicy|iomadpolicy:managedocs|Manage policies|Gestionar políticas|管理政策|$string['iomadpolicy:managedocs'] = 'Gestionar políticas';|$string['iomadpolicy:managedocs'] = '管理政策';
tool_iomadpolicy|iomadpolicy:viewacceptances|View user agreement reports|Ver informes del acuerdo de usuario|查看用户协议报告|$string['iomadpolicy:viewacceptances'] = 'Ver informes del acuerdo de usuario';|$string['iomadpolicy:viewacceptances'] = '查看用户协议报告';
tool_iomadpolicy|iomadpolicydocaudience|User consent|Consentimiento del usuario|用户同意|$string['iomadpolicydocaudience'] = 'Consentimiento del usuario';|$string['iomadpolicydocaudience'] = '用户同意';
tool_iomadpolicy|iomadpolicydocaudience0|All users|Todos los usuarios|所有用户|$string['iomadpolicydocaudience0'] = 'Todos los usuarios';|$string['iomadpolicydocaudience0'] = '所有用户';
tool_iomadpolicy|iomadpolicydocaudience1|Authenticated users|Usuarios autenticados|已认证用户|$string['iomadpolicydocaudience1'] = 'Usuarios autenticados';|$string['iomadpolicydocaudience1'] = '已认证用户';
tool_iomadpolicy|iomadpolicydocaudience2|Guests|Huéspedes|宾客|$string['iomadpolicydocaudience2'] = 'Huéspedes';|$string['iomadpolicydocaudience2'] = '宾客';
tool_iomadpolicy|iomadpolicydoccontent|Full policy|Política completa|全面政策|$string['iomadpolicydoccontent'] = 'Política completa';|$string['iomadpolicydoccontent'] = '全面政策';
tool_iomadpolicy|iomadpolicydochdriomadpolicy|Policy|Política|政策|$string['iomadpolicydochdriomadpolicy'] = 'Política';|$string['iomadpolicydochdriomadpolicy'] = '政策';
tool_iomadpolicy|iomadpolicydochdrversion|Document version|Versión del documento|文档版本|$string['iomadpolicydochdrversion'] = 'Versión del documento';|$string['iomadpolicydochdrversion'] = '文档版本';
tool_iomadpolicy|iomadpolicydocname|Name|Nombre|姓名|$string['iomadpolicydocname'] = 'Nombre';|$string['iomadpolicydocname'] = '姓名';
tool_iomadpolicy|iomadpolicydocoptional|Agreement optional|Acuerdo opcional|协议可选|$string['iomadpolicydocoptional'] = 'Acuerdo opcional';|$string['iomadpolicydocoptional'] = '协议可选';
tool_iomadpolicy|iomadpolicydocoptionalyes|Optional|Opcional|选修的|$string['iomadpolicydocoptionalyes'] = 'Opcional';|$string['iomadpolicydocoptionalyes'] = '选修的';
tool_iomadpolicy|iomadpolicydocoptionalno|Compulsory|Obligatorio|强制性的|$string['iomadpolicydocoptionalno'] = 'Obligatorio';|$string['iomadpolicydocoptionalno'] = '强制性的';
tool_iomadpolicy|iomadpolicydocrevision|Version|Versión|版本|$string['iomadpolicydocrevision'] = 'Versión';|$string['iomadpolicydocrevision'] = '版本';
tool_iomadpolicy|iomadpolicydocsummary|Summary|Resumen|概括|$string['iomadpolicydocsummary'] = 'Resumen';|$string['iomadpolicydocsummary'] = '概括';
tool_iomadpolicy|iomadpolicydocsummary_help|This text should provide a summary of the policy, potentially in a simplified and easily accessible form, using clear and plain language.|Este texto debe proporcionar un resumen de la política, a ser posible de forma simplificada y fácilmente accesible, utilizando un lenguaje claro y sencillo.|本文应提供政策概要，尽可能采用简明易懂的语言，以简化的形式呈现。|$string['iomadpolicydocsummary_help'] = 'Este texto debe proporcionar un resumen de la política, a ser posible de forma simplificada y fácilmente accesible, utilizando un lenguaje claro y sencillo.';|$string['iomadpolicydocsummary_help'] = '本文应提供政策概要，尽可能采用简明易懂的语言，以简化的形式呈现。';
tool_iomadpolicy|iomadpolicydoctype|Type|Tipo|类型|$string['iomadpolicydoctype'] = 'Tipo';|$string['iomadpolicydoctype'] = '类型';
tool_iomadpolicy|iomadpolicydoctype0|Site policy|Política del sitio|网站政策|$string['iomadpolicydoctype0'] = 'Política del sitio';|$string['iomadpolicydoctype0'] = '网站政策';
tool_iomadpolicy|iomadpolicydoctype1|Privacy policy|Política de privacidad|隐私政策|$string['iomadpolicydoctype1'] = 'Política de privacidad';|$string['iomadpolicydoctype1'] = '隐私政策';
tool_iomadpolicy|iomadpolicydoctype2|Third parties policy|Política de terceros|第三方政策|$string['iomadpolicydoctype2'] = 'Política de terceros';|$string['iomadpolicydoctype2'] = '第三方政策';
tool_iomadpolicy|iomadpolicydoctype99|Other policy|Otra política|其他政策|$string['iomadpolicydoctype99'] = 'Otra política';|$string['iomadpolicydoctype99'] = '其他政策';
tool_iomadpolicy|iomadpolicydocuments|Policy documents|Documentos de política|政策文件|$string['iomadpolicydocuments'] = 'Documentos de política';|$string['iomadpolicydocuments'] = '政策文件';
tool_iomadpolicy|iomadpolicynamedversion|Policy {$a->name} (version {$a->revision} - {$a->id})|Política {$a->name} (versión {$a->revision} - {$a->id})|策略 {$a->name}（版本 {$a->revision} - {$a->id}）|$string['iomadpolicynamedversion'] = 'Política {$a->name} (versión {$a->revision} - {$a->id})';|$string['iomadpolicynamedversion'] = '策略 {$a->name}（版本 {$a->revision} - {$a->id}）';
tool_iomadpolicy|iomadpolicypriorityagreement|Show policy before showing other policies|Muestre la política antes de mostrar otras políticas.|显示此政策后再显示其他政策|$string['iomadpolicypriorityagreement'] = 'Muestre la política antes de mostrar otras políticas.';|$string['iomadpolicypriorityagreement'] = '显示此政策后再显示其他政策';
tool_iomadpolicy|iomadpolicyversionacceptedinbehalf|Consent for this policy has been given on your behalf.|Su consentimiento para esta política ha sido otorgado en su nombre.|您已获得本政策的同意。|$string['iomadpolicyversionacceptedinbehalf'] = 'Su consentimiento para esta política ha sido otorgado en su nombre.';|$string['iomadpolicyversionacceptedinbehalf'] = '您已获得本政策的同意。';
tool_iomadpolicy|iomadpolicyversionacceptedinotherlang|Consent for this policy version has been given in a different language.|El consentimiento para esta versión de la política se ha otorgado en un idioma diferente.|本政策版本已获得其他语言的同意。|$string['iomadpolicyversionacceptedinotherlang'] = 'El consentimiento para esta versión de la política se ha otorgado en un idioma diferente.';|$string['iomadpolicyversionacceptedinotherlang'] = '本政策版本已获得其他语言的同意。';
tool_iomadpolicy|previousversions|{$a} previous versions|{$a} versiones anteriores|{$a} 先前版本|$string['previousversions'] = '{$a} versiones anteriores';|$string['previousversions'] = '{$a} 先前版本';
tool_iomadpolicy|privacy:metadata:acceptances|Information about policy agreements made by users.|Información sobre los acuerdos de política suscritos por los usuarios.|用户签订的政策协议信息。|$string['privacy:metadata:acceptances'] = 'Información sobre los acuerdos de política suscritos por los usuarios.';|$string['privacy:metadata:acceptances'] = '用户签订的政策协议信息。';
tool_iomadpolicy|privacy:metadata:acceptances:iomadpolicyversionid|The version of the policy for which consent was given.|La versión de la política para la cual se otorgó el consentimiento.|获得批准的政策版本。|$string['privacy:metadata:acceptances:iomadpolicyversionid'] = 'La versión de la política para la cual se otorgó el consentimiento.';|$string['privacy:metadata:acceptances:iomadpolicyversionid'] = '获得批准的政策版本。';
tool_iomadpolicy|privacy:metadata:acceptances:userid|The user for whom this policy agreement relates to.|El usuario al que se refiere este acuerdo de política.|本保单协议所涉用户。|$string['privacy:metadata:acceptances:userid'] = 'El usuario al que se refiere este acuerdo de política.';|$string['privacy:metadata:acceptances:userid'] = '本保单协议所涉用户。';
tool_iomadpolicy|privacy:metadata:acceptances:status|The status of the agreement.|El estado del acuerdo.|该协议的现状。|$string['privacy:metadata:acceptances:status'] = 'El estado del acuerdo.';|$string['privacy:metadata:acceptances:status'] = '该协议的现状。';
tool_iomadpolicy|privacy:metadata:acceptances:lang|The language used to display the policy when consent was given.|El idioma utilizado para mostrar la política cuando se otorgaba el consentimiento.|用于在获得同意后显示政策的语言。|$string['privacy:metadata:acceptances:lang'] = 'El idioma utilizado para mostrar la política cuando se otorgaba el consentimiento.';|$string['privacy:metadata:acceptances:lang'] = '用于在获得同意后显示政策的语言。';
tool_iomadpolicy|privacy:metadata:acceptances:usermodified|The user who gave consent for the policy, if made on behalf of another user.|El usuario que dio su consentimiento para la política, si se realizó en nombre de otro usuario.|如果该政策是代表其他用户做出的，则由同意该政策的用户做出。|$string['privacy:metadata:acceptances:usermodified'] = 'El usuario que dio su consentimiento para la política, si se realizó en nombre de otro usuario.';|$string['privacy:metadata:acceptances:usermodified'] = '如果该政策是代表其他用户做出的，则由同意该政策的用户做出。';
tool_iomadpolicy|privacy:metadata:acceptances:timecreated|The time when the user agreed to the policy.|El momento en que el usuario aceptó la política.|用户同意该政策的时间。|$string['privacy:metadata:acceptances:timecreated'] = 'El momento en que el usuario aceptó la política.';|$string['privacy:metadata:acceptances:timecreated'] = '用户同意该政策的时间。';
tool_iomadpolicy|privacy:metadata:acceptances:timemodified|The time when the user updated their agreement.|La hora en que el usuario actualizó su acuerdo.|用户更新其协议的时间。|$string['privacy:metadata:acceptances:timemodified'] = 'La hora en que el usuario actualizó su acuerdo.';|$string['privacy:metadata:acceptances:timemodified'] = '用户更新其协议的时间。';
tool_iomadpolicy|privacy:metadata:acceptances:note|Any comments added by a user when giving consent on behalf of another user.|Cualquier comentario añadido por un usuario al dar su consentimiento en nombre de otro usuario.|用户代表其他用户同意时添加的任何评论。|$string['privacy:metadata:acceptances:note'] = 'Cualquier comentario añadido por un usuario al dar su consentimiento en nombre de otro usuario.';|$string['privacy:metadata:acceptances:note'] = '用户代表其他用户同意时添加的任何评论。';
tool_iomadpolicy|privacy:metadata:subsystem:corefiles|The policy tool stores files included in the summary and full policy.|La herramienta de políticas almacena los archivos incluidos en el resumen y en la política completa.|策略工具存储摘要策略和完整策略中包含的文件。|$string['privacy:metadata:subsystem:corefiles'] = 'La herramienta de políticas almacena los archivos incluidos en el resumen y en la política completa.';|$string['privacy:metadata:subsystem:corefiles'] = '策略工具存储摘要策略和完整策略中包含的文件。';
tool_iomadpolicy|privacy:metadata:versions|Policy version information.|Información sobre la versión de la póliza.|保单版本信息。|$string['privacy:metadata:versions'] = 'Información sobre la versión de la póliza.';|$string['privacy:metadata:versions'] = '保单版本信息。';
tool_iomadpolicy|privacy:metadata:versions:name|The name of the policy.|El nombre de la póliza.|保单名称。|$string['privacy:metadata:versions:name'] = 'El nombre de la póliza.';|$string['privacy:metadata:versions:name'] = '保单名称。';
tool_iomadpolicy|privacy:metadata:versions:type|Policy type.|Tipo de póliza.|保单类型。|$string['privacy:metadata:versions:type'] = 'Tipo de póliza.';|$string['privacy:metadata:versions:type'] = '保单类型。';
tool_iomadpolicy|privacy:metadata:versions:audience|The type of users required to give their consent.|El tipo de usuarios que deben dar su consentimiento.|需要提供同意书的用户类型。|$string['privacy:metadata:versions:audience'] = 'El tipo de usuarios que deben dar su consentimiento.';|$string['privacy:metadata:versions:audience'] = '需要提供同意书的用户类型。';
tool_iomadpolicy|privacy:metadata:versions:archived|The policy status (active or inactive).|El estado de la póliza (activa o inactiva).|保单状态（生效或失效）。|$string['privacy:metadata:versions:archived'] = 'El estado de la póliza (activa o inactiva).';|$string['privacy:metadata:versions:archived'] = '保单状态（生效或失效）。';
tool_iomadpolicy|privacy:metadata:versions:usermodified|The user who modified the policy.|El usuario que modificó la política.|修改策略的用户。|$string['privacy:metadata:versions:usermodified'] = 'El usuario que modificó la política.';|$string['privacy:metadata:versions:usermodified'] = '修改策略的用户。';
tool_iomadpolicy|privacy:metadata:versions:timecreated|The time that this version of the policy was created.|La fecha en que se creó esta versión de la política.|该政策版本制定的时间。|$string['privacy:metadata:versions:timecreated'] = 'La fecha en que se creó esta versión de la política.';|$string['privacy:metadata:versions:timecreated'] = '该政策版本制定的时间。';
tool_iomadpolicy|privacy:metadata:versions:timemodified|The time that this version of the policy was updated.|Fecha de actualización de esta versión de la política.|该政策版本更新的时间。|$string['privacy:metadata:versions:timemodified'] = 'Fecha de actualización de esta versión de la política.';|$string['privacy:metadata:versions:timemodified'] = '该政策版本更新的时间。';
tool_iomadpolicy|privacy:metadata:versions:iomadpolicyid|The policy that this version is associated with.|La política con la que está asociada esta versión.|此版本所关联的政策。|$string['privacy:metadata:versions:iomadpolicyid'] = 'La política con la que está asociada esta versión.';|$string['privacy:metadata:versions:iomadpolicyid'] = '此版本所关联的政策。';
tool_iomadpolicy|privacy:metadata:versions:revision|The revision name of this version of the policy.|El nombre de la revisión de esta versión de la política.|该政策版本的修订名称。|$string['privacy:metadata:versions:revision'] = 'El nombre de la revisión de esta versión de la política.';|$string['privacy:metadata:versions:revision'] = '该政策版本的修订名称。';
tool_iomadpolicy|privacy:metadata:versions:summary|The summary of this version of the policy.|Resumen de esta versión de la política.|该政策版本的摘要。|$string['privacy:metadata:versions:summary'] = 'Resumen de esta versión de la política.';|$string['privacy:metadata:versions:summary'] = '该政策版本的摘要。';
tool_iomadpolicy|privacy:metadata:versions:summaryformat|The format of the summary field.|El formato del campo de resumen.|摘要字段的格式。|$string['privacy:metadata:versions:summaryformat'] = 'El formato del campo de resumen.';|$string['privacy:metadata:versions:summaryformat'] = '摘要字段的格式。';
tool_iomadpolicy|privacy:metadata:versions:content|The content of this version of the policy.|El contenido de esta versión de la política.|本版本政策的内容。|$string['privacy:metadata:versions:content'] = 'El contenido de esta versión de la política.';|$string['privacy:metadata:versions:content'] = '本版本政策的内容。';
tool_iomadpolicy|privacy:metadata:versions:contentformat|The format of the content field.|El formato del campo de contenido.|内容字段的格式。|$string['privacy:metadata:versions:contentformat'] = 'El formato del campo de contenido.';|$string['privacy:metadata:versions:contentformat'] = '内容字段的格式。';
tool_iomadpolicy|privacysettings|Privacy settings|Configuración de privacidad|隐私设置|$string['privacysettings'] = 'Configuración de privacidad';|$string['privacysettings'] = '隐私设置';
tool_iomadpolicy|readiomadpolicy|Please read our {$a}|Por favor, lea nuestro {$a}|请阅读我们的{$a}|$string['readiomadpolicy'] = 'Por favor, lea nuestro {$a}';|$string['readiomadpolicy'] = '请阅读我们的{$a}';
tool_iomadpolicy|refertofulliomadpolicytext|Please refer to the full {$a} if you would like to review the text.|Consulte el texto completo {$a} si desea revisarlo.|如需查看文本，请参阅完整的 {$a}。|$string['refertofulliomadpolicytext'] = 'Consulte el texto completo {$a} si desea revisarlo.';|$string['refertofulliomadpolicytext'] = '如需查看文本，请参阅完整的 {$a}。';
tool_iomadpolicy|response|Response|Respuesta|回复|$string['response'] = 'Respuesta';|$string['response'] = '回复';
tool_iomadpolicy|responseby|Respondent|Demandado|答辩人|$string['responseby'] = 'Demandado';|$string['responseby'] = '答辩人';
tool_iomadpolicy|responseon|Date|Fecha|日期|$string['responseon'] = 'Fecha';|$string['responseon'] = '日期';
tool_iomadpolicy|revokeacknowledgement|I acknowledge that I have received a request to withdraw consent on behalf of the above user(s).|Reconozco haber recibido una solicitud para retirar el consentimiento en nombre del/de los usuario/s mencionado/s anteriormente.|我确认已收到代表上述用户撤回同意的请求。|$string['revokeacknowledgement'] = 'Reconozco haber recibido una solicitud para retirar el consentimiento en nombre del/de los usuario/s mencionado/s anteriormente.';|$string['revokeacknowledgement'] = '我确认已收到代表上述用户撤回同意的请求。';
tool_iomadpolicy|save|Save|Ahorrar|节省|$string['save'] = 'Ahorrar';|$string['save'] = '节省';
tool_iomadpolicy|saveasdraft|Save as draft|Guardar como borrador|保存为草稿|$string['saveasdraft'] = 'Guardar como borrador';|$string['saveasdraft'] = '保存为草稿';
tool_iomadpolicy|selectuser|Select user {$a}|Seleccione el usuario {$a}|选择用户 {$a}|$string['selectuser'] = 'Seleccione el usuario {$a}';|$string['selectuser'] = '选择用户 {$a}';
tool_iomadpolicy|selectusersforconsent|Select users to give consent on behalf of.|Seleccione los usuarios en cuyo nombre se dará el consentimiento.|选择要代表其授予同意的用户。|$string['selectusersforconsent'] = 'Seleccione los usuarios en cuyo nombre se dará el consentimiento.';|$string['selectusersforconsent'] = '选择要代表其授予同意的用户。';
tool_iomadpolicy|settodraft|Create a new draft|Crear un nuevo borrador|创建新草稿|$string['settodraft'] = 'Crear un nuevo borrador';|$string['settodraft'] = '创建新草稿';
tool_iomadpolicy|status|Policy status|Estado de la póliza|政策状态|$string['status'] = 'Estado de la póliza';|$string['status'] = '政策状态';
tool_iomadpolicy|statusformtitleaccept|Accepting policy|Aceptación de la política|接受政策|$string['statusformtitleaccept'] = 'Aceptación de la política';|$string['statusformtitleaccept'] = '接受政策';
tool_iomadpolicy|statusformtitledecline|Declining policy|Política en declive|政策下滑|$string['statusformtitledecline'] = 'Política en declive';|$string['statusformtitledecline'] = '政策下滑';
tool_iomadpolicy|statusformtitlerevoke|Withdrawing policy|Retirada de la política|撤回政策|$string['statusformtitlerevoke'] = 'Retirada de la política';|$string['statusformtitlerevoke'] = '撤回政策';
tool_iomadpolicy|statusinfo|A policy with 'Active' status requires users to give their consent, either when they first log in, or in the case of existing users when they next log in.|Una política con estado "Activa" requiere que los usuarios den su consentimiento, ya sea cuando inician sesión por primera vez o, en el caso de los usuarios existentes, cuando inicien sesión nuevamente.|状态为“启用”的策略要求用户在首次登录时给予同意，或者对于现有用户，在下次登录时给予同意。|$string['statusinfo'] = 'Una política con estado "Activa" requiere que los usuarios den su consentimiento, ya sea cuando inician sesión por primera vez o, en el caso de los usuarios existentes, cuando inicien sesión nuevamente.';|$string['statusinfo'] = '状态为“启用”的策略要求用户在首次登录时给予同意，或者对于现有用户，在下次登录时给予同意。';
tool_iomadpolicy|status0|Draft|Borrador|草稿|$string['status0'] = 'Borrador';|$string['status0'] = '草稿';
tool_iomadpolicy|status1|Active|Activo|积极的|$string['status1'] = 'Activo';|$string['status1'] = '积极的';
tool_iomadpolicy|status2|Inactive|Inactivo|非活跃状态|$string['status2'] = 'Inactivo';|$string['status2'] = '非活跃状态';
tool_iomadpolicy|useracceptanceactionaccept|Accept|Aceptar|接受|$string['useracceptanceactionaccept'] = 'Aceptar';|$string['useracceptanceactionaccept'] = '接受';
tool_iomadpolicy|useracceptanceactionacceptone|Accept {$a}|Aceptar {$a}|接受 {$a}|$string['useracceptanceactionacceptone'] = 'Aceptar {$a}';|$string['useracceptanceactionacceptone'] = '接受 {$a}';
tool_iomadpolicy|useracceptanceactionacceptpending|Accept pending policies|Aceptar políticas pendientes|接受待定政策|$string['useracceptanceactionacceptpending'] = 'Aceptar políticas pendientes';|$string['useracceptanceactionacceptpending'] = '接受待定政策';
tool_iomadpolicy|useracceptanceactiondecline|Decline|Rechazar|衰退|$string['useracceptanceactiondecline'] = 'Rechazar';|$string['useracceptanceactiondecline'] = '衰退';
tool_iomadpolicy|useracceptanceactiondeclineone|Decline {$a}|Rechazar {$a}|下降 {$a}|$string['useracceptanceactiondeclineone'] = 'Rechazar {$a}';|$string['useracceptanceactiondeclineone'] = '下降 {$a}';
tool_iomadpolicy|useracceptanceactiondeclinepending|Decline pending policies|Rechazar políticas pendientes|拒绝待处理的政策|$string['useracceptanceactiondeclinepending'] = 'Rechazar políticas pendientes';|$string['useracceptanceactiondeclinepending'] = '拒绝待处理的政策';
tool_iomadpolicy|useracceptanceactiondetails|Details|Detalles|细节|$string['useracceptanceactiondetails'] = 'Detalles';|$string['useracceptanceactiondetails'] = '细节';
tool_iomadpolicy|useracceptanceactionrevoke|Withdraw|Retirar|提取|$string['useracceptanceactionrevoke'] = 'Retirar';|$string['useracceptanceactionrevoke'] = '提取';
tool_iomadpolicy|useracceptanceactionrevokeall|Withdraw accepted policies|Retirar las políticas aceptadas|撤回已接受的政策|$string['useracceptanceactionrevokeall'] = 'Retirar las políticas aceptadas';|$string['useracceptanceactionrevokeall'] = '撤回已接受的政策';
tool_iomadpolicy|useracceptanceactionrevokeone|Withdraw acceptance of {$a}|Retirar la aceptación de {$a}|撤回对 {$a} 的接受|$string['useracceptanceactionrevokeone'] = 'Retirar la aceptación de {$a}';|$string['useracceptanceactionrevokeone'] = '撤回对 {$a} 的接受';
tool_iomadpolicy|useracceptancecount|{$a->agreedcount} of {$a->userscount} ({$a->percent}%)|{$a->agreedcount} de {$a->userscount} ({$a->percent}%)|{$a->agreedcount} 占 {$a->userscount} ({$a->percent}%)|$string['useracceptancecount'] = '{$a->agreedcount} de {$a->userscount} ({$a->percent}%)';|$string['useracceptancecount'] = '{$a->agreedcount} 占 {$a->userscount} ({$a->percent}%)';
tool_iomadpolicy|useracceptancecountna|N/A|N / A|不适用|$string['useracceptancecountna'] = 'N / A';|$string['useracceptancecountna'] = '不适用';
tool_iomadpolicy|useracceptances|User agreements|Acuerdos de usuario|用户协议|$string['useracceptances'] = 'Acuerdos de usuario';|$string['useracceptances'] = '用户协议';
tool_iomadpolicy|useriomadpolicysettings|Policies|Políticas|政策|$string['useriomadpolicysettings'] = 'Políticas';|$string['useriomadpolicysettings'] = '政策';
tool_iomadpolicy|usersaccepted|Agreements|Acuerdos|协议|$string['usersaccepted'] = 'Acuerdos';|$string['usersaccepted'] = '协议';
tool_iomadpolicy|viewarchived|View previous versions|Ver versiones anteriores|查看以前的版本|$string['viewarchived'] = 'Ver versiones anteriores';|$string['viewarchived'] = '查看以前的版本';
tool_iomadpolicy|viewconsentpageforuser|Viewing this page on behalf of {$a}|Visualizando esta página en nombre de {$a}|代表 {$a} 查看此页面|$string['viewconsentpageforuser'] = 'Visualizando esta página en nombre de {$a}';|$string['viewconsentpageforuser'] = '代表 {$a} 查看此页面';
tool_iomadsite|doit|Ok. Go ahead!|De acuerdo. ¡Adelante!|好的，请开始！|$string['doit'] = 'De acuerdo. ¡Adelante!';|$string['doit'] = '好的，请开始！';
